video_id,path,width,height,fps,total_frames,file_name,category_id,category_name,supercategory,color,metadata,pass_id,Frame,BoudingBox,Area,Circularity,Convexity,Rectangularity,Elongation,Eccentricity,Solidity
0,dataset/cages/cage1_red_empty.avi,1280,720,10,1102,cage1_red_empty.avi,0,cage_empty,cages,#e8e047,{},0,54,"[0, 108, 802, 486]",0.28613986545138886,0.6518600785770977,0.7927893779506316,0.6788074185618492,0.6059850374064838,0.8887747275446803,0.28676186737508985
0,dataset/cages/cage1_red_empty.avi,1280,720,10,1102,cage1_red_empty.avi,0,cage_empty,cages,#e8e047,{},0,55,"[0, 95, 883, 510]",0.3163932291666667,0.6346442181760749,0.7898921047332292,0.6500463311311222,0.5775764439411099,0.8990270502681817,0.3170809949097489
0,dataset/cages/cage1_red_empty.avi,1280,720,10,1102,cage1_red_empty.avi,0,cage_empty,cages,#e8e047,{},0,56,"[0, 83, 949, 527]",0.3456125217013889,0.596968190547296,0.7472969575862435,0.6387604380910062,0.5553213909378293,0.9080568040501881,0.3463638034321407
0,dataset/cages/cage1_red_empty.avi,1280,720,10,1102,cage1_red_empty.avi,0,cage_empty,cages,#e8e047,{},0,57,"[25, 71, 1002, 541]",0.35764539930555556,0.5540326053145781,0.7106949752790606,0.6100452260165179,0.5399201596806387,0.8952941364021625,0.3584228377307115
0,dataset/cages/cage1_red_empty.avi,1280,720,10,1102,cage1_red_empty.avi,0,cage_empty,cages,#e8e047,{},0,58,"[340, 63, 748, 528]",0.17566026475694443,0.5746689179985197,0.8037201879995196,0.5339138057473408,0.7058823529411765,0.9218600730542185,0.176042109567084
0,dataset/cages/cage1_red_empty.avi,1280,720,10,1102,cage1_red_empty.avi,0,cage_empty,cages,#e8e047,{},0,59,"[99, 63, 494, 525]",0.16680121527777778,0.5894971353020384,0.7228731426297911,0.601350577979438,0.940952380952381,0.5831318060825731,0.16716380256219818
0,dataset/cages/cage1_red_empty.avi,1280,720,10,1102,cage1_red_empty.avi,0,cage_empty,cages,#e8e047,{},0,60,"[148, 62, 647, 538]",0.1877240668402778,0.5476878053347388,0.7342382937571486,0.5094096273024799,0.8315301391035549,0.7422399813178496,0.18813213556749067
0,dataset/cages/cage1_red_empty.avi,1280,720,10,1102,cage1_red_empty.avi,0,cage_empty,cages,#e8e047,{},0,61,"[208, 67, 586, 549]",0.19471299913194445,0.6757470155595806,0.8624261698492646,0.5635875549387637,0.9368600682593856,0.6527498678938201,0.1951362601824052
0,dataset/cages/cage1_red_empty.avi,1280,720,10,1102,cage1_red_empty.avi,0,cage_empty,cages,#e8e047,{},0,62,"[278, 74, 968, 551]",0.35388780381944446,0.515646047348809,0.6730995544907009,0.6144342865767186,0.5692148760330579,0.8160872469770742,0.35465707410061537
0,dataset/cages/cage1_red_empty.avi,1280,720,10,1102,cage1_red_empty.avi,0,cage_empty,cages,#e8e047,{},0,63,"[360, 79, 903, 556]",0.36456759982638887,0.49017406869957114,0.5899069304499667,0.6737431022791294,0.6157253599114064,0.7629917344662882,0.3653600855153485
